Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Nov 2,Rowan University,Virginia Tech,1,5,Loss,-0.98,-0.19,-0.79,-0.321,9.7,1.98,5.19,0.321,M2
Nov 2,University of Minnesota Crookston,Bethel University,7,2,Win,-0.4,-0.17,-0.23,0.101,97.1,7.4,2.17,2.899,M2
Nov 2,Marist College,Roger Williams University,2,1,OT Win,-1.06,-3.39,2.32,1.478,16.1,2.06,4.39,0.522,M2
Nov 2,University of Idaho,Idaho State University,4,1,Win,0.57,-0.98,1.55,0.786,75.1,3.43,1.98,2.214,M2
Nov 2,University of North Dakota,South Dakota State University,1,10,Loss,-1.7,4.61,-6.31,-0.494,15.4,2.7,5.39,0.494,M2
Nov 2,Westfield State University,Connecticut College,2,4,Loss,0.05,-0.73,0.78,-0.4,12.1,1.95,4.73,0.4,M2
Nov 2,University of Delaware,University of North Carolina Wilmington,3,6,Loss,-0.19,1.9,-2.09,-1.099,35.9,3.19,4.1,1.099,M2
Nov 2,DePaul University,Indiana University,1,7,Loss,-1.01,2.66,-3.67,-0.513,15.8,2.01,4.34,0.513,M2
Nov 2,Saint Anselm College,Norwich University,4,2,Win,-2.68,-2.47,-0.21,0.728,76.6,6.68,4.47,2.272,M2
Nov 2,Sacred Heart University,Siena College,5,4,Win,1.15,1.79,-0.64,0.745,76.4,3.85,2.21,2.255,M2
Nov 2,Davenport University,Purdue University Northwest,3,4,Loss,1.17,-0.51,1.68,-0.407,12.3,1.83,4.51,0.407,M2
Nov 2,University of Arkansas,Florida Gulf Coast University,1,10,Loss,-0.66,5.2,-5.85,-0.298,8.8,1.66,4.8,0.298,M2
Nov 2,Rider University,North Carolina State University,3,12,Loss,0.57,7.05,-6.48,-0.512,15.9,2.43,4.95,0.512,M2
Nov 2,Merrimack College,Providence College,6,7,OT Loss,3.06,0.46,2.61,0.466,16.7,2.94,5.54,0.534,M2
Nov 2,University of Wyoming,University of Utah,5,4,OT Win,-0.38,-5.66,5.28,1.871,3.9,4.38,9.66,0.129,M2
Nov 2,Army (West Point),Rensselaer Polytechnic Institute,8,3,Win,4.34,-0.81,5.15,1.567,47.6,3.66,3.81,1.433,M2
Nov 2,University of Missouri,Illinois State University,6,2,Win,3.47,-0.63,4.09,1.549,48.2,2.53,2.63,1.451,M2
Nov 2,Millersville University,Drexel University,9,1,Win,4.97,-0.79,5.76,0.511,84.3,4.03,1.79,2.489,M2
Nov 2,Duke University,Stevenson University,2,6,Loss,0.6,1.2,-0.6,-0.229,6.7,1.4,4.8,0.229,M2
Nov 2,Maryville University,University of Iowa,4,3,Win,0.77,-0.02,0.79,1.399,53.6,3.23,3.02,1.601,M2
Nov 2,Texas A&M University,University of Texas,2,5,Loss,-0.81,1.83,-2.64,-1.323,43.7,2.81,3.17,1.323,M2
Nov 2,Michigan State University,Indiana Tech,7,1,Win,1.53,-0.32,1.85,0.136,96.1,5.47,1.32,2.864,M2
Nov 2,North Dakota State University,Dakota College Bottineau,9,4,Win,4.17,0.49,3.68,0.96,68.8,4.83,3.51,2.04,M2
Nov 2,University of New Mexico,Arizona State University,2,5,Loss,-1.14,0.07,-1.21,-0.778,24.9,3.14,4.93,0.778,M2
