Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Feb 4,Merrimack College,University of New Hampshire,1,3,Loss,-3.02,-2.47,-0.54,-0.94,30.5,4.02,5.47,0.94,W2
Feb 4,University of Wisconsin Eau Claire,North Dakota State University,1,4,Loss,-5.18,-2.96,-2.23,-1.224,40.4,6.18,6.96,1.224,W2
Feb 4,Harvard University,University of Vermont,3,5,Loss,-0.54,-0.46,-0.08,-0.767,24.6,3.54,5.46,0.767,W2
Feb 4,College of the Holy Cross,University Of Connecticut,5,4,Win,1.57,-2.88,4.46,2.616,11.9,3.43,6.88,0.384,W2
Feb 4,Adrian College,Lawrence Technological University,0,1,Loss,-8.41,-5.11,-3.31,-2.277,76.7,8.41,6.11,2.277,W2
Feb 4,Boston College,Northeastern University,2,3,Loss,-2.71,-2.89,0.19,-1.058,34.6,4.71,5.89,1.058,W2
Feb 4,University of Pennsylvania,Georgetown University,11,6,Win,0.94,2.16,-1.22,0.054,98.4,10.06,3.84,2.946,W2
Feb 4,Providence College,Sacred Heart University,10,3,Win,2.33,0.82,1.51,0.084,97.6,7.67,2.18,2.916,W2
Feb 4,Assumption University,Boston University,7,2,Win,-1.32,-1.46,0.13,0.172,94.8,8.32,3.46,2.828,W2
Feb 7,Harvard University,Boston College,3,0,Win,-0.53,-6.43,5.9,2.493,15.9,3.53,6.43,0.507,W2
Feb 8,Northeastern University,College of the Holy Cross,11,3,Win,0.55,1.46,-0.91,0.001,100,10.45,1.54,2.999,W2
Feb 9,Liberty University,Lawrence Technological University,3,3,Tie,-4.23,-3.42,-0.81,-0.288,60,7.23,6.42,1.788,W2
Feb 9,Sault College,Michigan State University,11,0,Win,-0.01,-2,1.99,0.001,100,11.01,2,2.999,W2
Feb 9,Robert Morris University,Niagara University,0,7,Loss,-3.82,-2.8,-1.03,-0.071,2.1,3.82,9.8,0.071,W2
Feb 9,The Ohio State University,Mercyhurst University,2,3,OT Loss,-5.88,-4.09,-1.79,-1.117,71.3,7.88,6.09,2.117,W2
Feb 9,North Dakota State University,Lake Region State College,5,2,Win,-1.79,-4.21,2.42,1.293,57.2,6.79,6.21,1.707,W2
Feb 9,University of Delaware,University of Pittsburgh,5,3,Win,-4.41,-0.45,-3.96,0.073,97.9,9.41,3.45,2.927,W2
Feb 9,Loyola University Chicago,Northern Michigan University,2,7,Loss,0.14,-3.24,3.38,-0.003,0.1,1.86,10.24,0.003,W2
Feb 10,University of Saint Thomas,University of Wisconsin,2,1,OT Win,-5.9,-6.07,0.17,0.56,47.9,6.9,7.07,1.44,W2
Feb 10,United States Naval Academy,University of Maryland,5,1,Win,-3.25,-2.98,-0.27,0.263,91.9,8.25,3.98,2.737,W2
Feb 10,University of Vermont,Bentley University,10,1,Win,-0.66,-1.19,0.53,0.002,99.9,10.66,2.19,2.998,W2
Feb 10,Sault College,Michigan State University,10,0,Win,-1.01,-2,0.99,0.001,100,11.01,2,2.999,W2
Feb 10,Liberty University,Lawrence Technological University,2,0,Win,-5.23,-6.42,1.19,1.212,60,7.23,6.42,1.788,W2
