Date,Rank,Team,Power Rating,Offense Rank,Defense Rank,Off_rating,Def_rating
2023-09-27,2,Midland University,4.803,2,3,6.3153957997224035,1.5125144838951134
2023-09-27,3,Minot State University,4.719,3,2,6.2107927996941115,1.4917402544436518
2023-09-27,4,Adrian College,4.355,4,4,6.007093424286856,1.6520095034637396
2023-09-27,5,Indiana Tech,4.071,5,5,5.804035331320201,1.7329290590077109
2023-09-27,6,Maryville University,2.993,6,7,5.015390460920799,2.02209455497704
2023-09-27,7,University of Michigan,2.646,7,8,4.873048860739895,2.2265940737746694
2023-09-27,8,McKendree University,2.565,11,6,4.43167792738881,1.8671493996575896
2023-09-27,9,Miami University,2.458,8,11,4.744904583669188,2.286445742341376
2023-09-27,10,Arizona State University,2.338,9,13,4.730855639781713,2.392695151461083
2023-09-27,11,University of Massachusetts Amherst,2.045,12,12,4.356391889921722,2.3116778558512077
2023-09-27,12,University of Michigan Dearborn,2.035,10,16,4.649186588025754,2.6140895765114953
2023-09-27,13,Lindenwood University,1.728,13,10,3.9856783994435703,2.257897419815834
2023-09-27,14,University of Jamestown,1.678,14,9,3.9188888017313848,2.2411607886861886
2023-09-27,15,University of Minnesota,1.148,18,14,3.5948214889211845,2.4465526031685636
2023-09-27,16,Michigan State University,0.915,19,15,3.458769663866466,2.5441628271244294
2023-09-27,17,Grand Valley State University,0.652,16,17,3.683800082139167,3.031772043448058
2023-09-27,18,Lake Superior State University,0.622,15,20,3.8535688894171503,3.231494665167608
2023-09-27,19,Niagara University,0.325,20,18,3.436296925478935,3.111764014729433
2023-09-27,20,Concordia University Ann Arbor,0.058,21,21,3.327506673987685,3.2697936619573538
2023-09-27,21,Grand Canyon University,-0.108,24,19,3.058007337467322,3.166402717834193
2023-09-27,22,University of Utah,-0.251,17,24,3.6651770687340792,3.915683614858119
2023-09-27,23,Aquinas College,-0.613,25,23,2.8214611793312443,3.4339689714758816
2023-09-27,24,University of Rhode Island,-0.898,26,22,2.474701045952401,3.3728003734215157
2023-09-27,25,University of Colorado,-1.138,23,26,3.170813994227341,4.308771210991261
2023-09-27,26,Colorado State University,-1.234,22,27,3.3100463150466757,4.544178682882727
2023-09-27,27,Penn State University,-1.602,27,25,2.4194680114469445,4.021351387740126
2023-09-27,28,University of Denver,-3.985,28,28,2.159545269419765,6.144675180194079
2023-09-27,29,Davenport University,-5.35,29,29,1.684522053376841,7.034288002900253
2023-09-27,30,Montana State University,-7.667,30,30,1.3290067635670024,8.996225748756844
2023-09-27,31,University of Wyoming,-15.692,31,31,0.9907542953015408,16.682809690077015
2023-10-04,1,Liberty University,6.579,1,1,7.704071968661393,1.1250772975502268
2023-10-04,2,Adrian College,5.848,2,3,7.28309486640866,1.434669533914944
2023-10-04,3,Midland University,5.111,3,2,6.471247422173635,1.360294924837347
2023-10-04,4,Indiana Tech,4.397,4,5,6.126372977381563,1.729135431018134
2023-10-04,5,Minot State University,4.209,5,4,5.930893587110979,1.7217316071480988
2023-10-04,6,Maryville University,3.245,6,7,5.2458531635699535,2.0006448082742776
2023-10-04,7,University of Michigan,2.737,7,8,4.780446206961165,2.043868902850827
2023-10-04,8,McKendree University,2.597,10,6,4.453658489495621,1.856369192093123
2023-10-04,9,Arizona State University,2.328,9,11,4.6366396517450985,2.308348959258027
2023-10-04,10,University of Michigan Dearborn,2.119,8,13,4.6537571885531115,2.535205078876368
2023-10-04,11,University of Massachusetts Amherst,2.11,11,10,4.392680535269691,2.2826210486314324
2023-10-04,12,University of Jamestown,1.739,13,9,3.951533056306635,2.2129903510014812
2023-10-04,13,Miami University,1.505,12,16,4.1114464088153415,2.6064145277762845
2023-10-04,14,University of Minnesota,1.209,17,12,3.624766270152302,2.4158004777530904
2023-10-04,15,Michigan State University,1.011,18,15,3.605123005226149,2.594237223954119
2023-10-04,16,Lindenwood University,0.794,20,14,3.332057199531158,2.5381222417642406
2023-10-04,17,Grand Valley State University,0.721,15,17,3.7144860530277897,2.9936639586308784
2023-10-04,18,Lake Superior State University,0.505,16,20,3.67697311594867,3.171477389328755
2023-10-04,19,Niagara University,0.392,19,18,3.464921200702545,3.072650464863233
2023-10-04,20,University of Utah,0.119,14,24,3.7913489941003657,3.6728081491558418
2023-10-04,21,Grand Canyon University,-0.043,24,19,3.083480469027769,3.126602382714228
2023-10-04,22,Concordia University Ann Arbor,-0.05,21,22,3.2873273890164425,3.337097885545846
2023-10-04,23,Aquinas College,-0.546,25,23,2.8449638867751457,3.3908054423750142
2023-10-04,24,University of Rhode Island,-0.835,26,21,2.4953152493730277,3.330405707575998
2023-10-04,25,University of Colorado,-1.057,22,26,3.1972268026725796,4.25461178989589
2023-10-04,26,Colorado State University,-1.439,23,27,3.1628227079375324,4.601873635982336
2023-10-04,27,Penn State University,-1.531,27,25,2.4396221249465295,3.970804711549592
2023-10-04,28,University of Denver,-3.513,28,28,2.311983677506756,5.82472933766934
2023-10-04,29,Davenport University,-5.247,29,29,1.698554083763557,6.945869995213196
2023-10-04,30,Montana State University,-8.67,30,30,1.2958319105687808,9.965743208158846
2023-10-04,31,University of Wyoming,-15.474,31,31,0.999007256044662,16.47311386943237
2023-10-11,1,Liberty University,6.453,1,1,7.582159289953041,1.1293192215537138
2023-10-11,2,Adrian College,5.687,2,3,7.161830672391548,1.4752418626935753
2023-10-11,3,Midland University,5.055,3,2,6.327856978236649,1.2727780482273903
